ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,City,Event,Medal
84914,Eulucane Ndagijimana,M,27.0,172.0,68.0,Rwanda,RWA,1988 Summer,1988,Seoul,"Athletics Men's 1,500 metres",0
84915,Addo Ndala,F,19.0,170.0,52.0,Congo (Brazzaville),CGO,1992 Summer,1992,Barcelona,Athletics Women's 400 metres Hurdles,0
84916,Patrick Ndayisenga,M,28.0,179.0,57.0,Burundi,BDI,2000 Summer,2000,Sydney,Athletics Men's Marathon,0
84918,Hamad Ndee,M,21.0,170.0,61.0,Tanzania,TAN,1972 Summer,1972,Munich,Athletics Men's 200 metres,0
84918,Hamad Ndee,M,21.0,170.0,61.0,Tanzania,TAN,1972 Summer,1972,Munich,Athletics Men's 4 x 100 metres Relay,0
84918,Hamad Ndee,M,21.0,170.0,61.0,Tanzania,TAN,1972 Summer,1972,Munich,Athletics Men's 4 x 400 metres Relay,0
84921,"Wincatherine Nyambura ""Catherine"" Ndereba",F,32.0,160.0,45.0,Kenya,KEN,2004 Summer,2004,Athina,Athletics Women's Marathon,Silver
84921,"Wincatherine Nyambura ""Catherine"" Ndereba",F,36.0,160.0,45.0,Kenya,KEN,2008 Summer,2008,Beijing,Athletics Women's Marathon,Silver
84923,Pardon Ndhlovu,M,28.0,158.0,54.0,Zimbabwe,ZIM,2016 Summer,2016,Rio de Janeiro,Athletics Men's Marathon,0
84925,Amadou Ndiaye,M,23.0,180.0,80.0,Senegal,SEN,2016 Summer,2016,Rio de Janeiro,Athletics Men's 400 metres Hurdles,0
84930,Hinikissa Albertine Ndikert,F,15.0,165.0,60.0,Chad,CHA,2008 Summer,2008,Beijing,Athletics Women's 100 metres,0
84930,Hinikissa Albertine Ndikert,F,19.0,165.0,60.0,Chad,CHA,2012 Summer,2012,London,Athletics Women's 200 metres,0
84931,Caleb Mwangangi Ndiku,M,23.0,167.0,65.0,Kenya,KEN,2016 Summer,2016,Rio de Janeiro,"Athletics Men's 5,000 metres",0
84932,Henri Ndinga,M,23.0,176.0,68.0,Congo (Brazzaville),CGO,1984 Summer,1984,Los Angeles,Athletics Men's 100 metres,0
84932,Henri Ndinga,M,23.0,176.0,68.0,Congo (Brazzaville),CGO,1984 Summer,1984,Los Angeles,Athletics Men's 4 x 100 metres Relay,0
84932,Henri Ndinga,M,27.0,176.0,68.0,Congo (Brazzaville),CGO,1988 Summer,1988,Seoul,Athletics Men's 100 metres,0
84932,Henri Ndinga,M,27.0,176.0,68.0,Congo (Brazzaville),CGO,1988 Summer,1988,Seoul,Athletics Men's 200 metres,0
84932,Henri Ndinga,M,27.0,176.0,68.0,Congo (Brazzaville),CGO,1988 Summer,1988,Seoul,Athletics Men's 4 x 100 metres Relay,0
84933,Pierre Ndinga,M,29.0,167.0,62.0,Congo (Brazzaville),CGO,1988 Summer,1988,Seoul,Athletics Men's 4 x 100 metres Relay,0
84934,Ernest Ndissipou,M,19.0,183.0,68.0,Central African Republic,CAF,1992 Summer,1992,Barcelona,"Athletics Men's 5,000 metres",0
84934,Ernest Ndissipou,M,23.0,183.0,68.0,Central African Republic,CAF,1996 Summer,1996,Atlanta,Athletics Men's Marathon,0
84934,Ernest Ndissipou,M,31.0,183.0,68.0,Central African Republic,CAF,2004 Summer,2004,Athina,Athletics Men's Marathon,0
84935,Juma Ndiwa,M,23.0,186.0,70.0,Kenya,KEN,1984 Summer,1984,Los Angeles,Athletics Men's 800 metres,0
84935,Juma Ndiwa,M,27.0,186.0,70.0,Kenya,KEN,1988 Summer,1988,Seoul,Athletics Men's 800 metres,0
84940,Reginaldo Micha Ndong,M,21.0,165.0,76.0,Equatorial Guinea,GEQ,2008 Summer,2008,Beijing,Athletics Men's 100 metres,0
84946,Jean-Patrick Nduwimana,M,22.0,180.0,65.0,Burundi,BDI,2000 Summer,2000,Sydney,Athletics Men's 800 metres,0
84946,Jean-Patrick Nduwimana,M,26.0,180.0,65.0,Burundi,BDI,2004 Summer,2004,Athina,Athletics Men's 800 metres,0
84947,Fidelis Ndyabagye,M,30.0,169.0,73.0,Uganda,UGA,1980 Summer,1980,Moskva,Athletics Men's Long Jump,0
84948,Phumlile Ndzinisa,F,19.0,170.0,57.0,Swaziland,SWZ,2012 Summer,2012,London,Athletics Women's 400 metres,0
